ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
107,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,100%
108,powder,YOLOv8 Nano,True,True,1,Voronoi,15%,110%,110%
109,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,90%
110,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,100%
111,powder,YOLOv8 Nano,True,True,2,Random,0%,90%,110%
112,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,90%
113,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,100%
114,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,110%
115,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,90%
116,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,100%
117,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,110%
118,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,90%
119,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,100%
120,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,110%
121,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,90%
122,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,100%
123,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,110%
124,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,90%
125,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,100%
126,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,110%
127,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,90%
128,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,100%
129,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,110%
130,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,90%
131,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,100%
132,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,110%
133,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,90%
134,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,100%
135,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,110%
136,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,90%
137,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,100%
138,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,110%
139,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,90%
140,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,100%
141,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,110%
142,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,90%
143,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,100%
144,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,110%
145,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,90%
146,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,100%
147,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,110%
148,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,90%
