ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
114,powder,YOLOv8 Nano,True,True,2,Random,0%,100%,110%,0.670874990841311
115,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,90%,0.6497037615165447
116,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,100%,0.6414461070295182
117,powder,YOLOv8 Nano,True,True,2,Random,0%,110%,110%,0.6381871406635301
118,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,90%,0.6908980896907718
119,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,100%,0.6900787015112992
120,powder,YOLOv8 Nano,True,True,2,Random,5%,90%,110%,0.6908272313584275
121,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,90%,0.6712568384464999
122,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,100%,0.6778513291509138
123,powder,YOLOv8 Nano,True,True,2,Random,5%,100%,110%,0.6719849605009655
124,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,90%,0.644243411773234
125,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,100%,0.6420254385815117
126,powder,YOLOv8 Nano,True,True,2,Random,5%,110%,110%,0.6417232898607105
127,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,90%,0.6916035356907646
128,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,100%,0.6898849598168139
129,powder,YOLOv8 Nano,True,True,2,Random,10%,90%,110%,0.6884861693690791
130,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,90%,0.6755141234529457
131,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,100%,0.6749028447483834
132,powder,YOLOv8 Nano,True,True,2,Random,10%,100%,110%,0.6667443517692084
133,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,90%,0.6481656186729686
134,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,100%,0.6499744096944527
135,powder,YOLOv8 Nano,True,True,2,Random,10%,110%,110%,0.6420819700846213
136,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,90%,0.6857263302684611
137,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,100%,0.6907743213104731
138,powder,YOLOv8 Nano,True,True,2,Random,15%,90%,110%,0.6885522934957484
139,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,90%,0.6748480173935748
140,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,100%,0.6704441999001779
141,powder,YOLOv8 Nano,True,True,2,Random,15%,100%,110%,0.6774850269164119
142,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,90%,0.6473108174376205
143,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,100%,0.6456186399664701
144,powder,YOLOv8 Nano,True,True,2,Random,15%,110%,110%,0.6532826558248876
145,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,90%,0.6573833256973917
146,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,100%,0.6691562019478166
147,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,90%,110%,0.6553756200801709
148,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,90%,0.6407291116899407
149,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,100%,0.6330527209435425
150,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,110%,0.639282603739913
151,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,90%,0.5693356069665104
152,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,100%,0.5855456412177596
153,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,110%,0.5796836308276792
154,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,90%,0.6698920671119372
155,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,100%,0.6794186741602101
156,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,110%,0.6842341290101522
157,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,90%,0.6684567717775137
158,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,100%,0.6516553409609033
159,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,110%,0.6528572935881569
160,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,90%,0.6123776907724247
161,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,100%,0.6125957370386681
162,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,110%,0.6210577466103879
163,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,90%,0.6690680357516685
164,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,100%,0.6684853482051822
165,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,110%,0.6693394448708359
166,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,90%,0.628370138680205
